money	budget	
545	298	
475	2	
352	148	
506	348	
541	336	
555	342	
555	356	
457	207	
361	213	
456	170	
447	177	
249	113	
327	114	
628	301	
278	109	
565	313	
584	333	
452	233	
364	126	
430	272	
438	213	
464	213	
292	123	
601	349	
460	267	
448	255	
361	168	
423	200	
433	182	
519	346	
442	294	
520	258	
513	272	
432	220	
587	367	
443	179	
345	209	
258	125	
42	207	
484	204	
412	173	
380	116	
296	153	
298	112	
558	356	
419	166	
434	301	
542	248	
475	308	
488	269	
